"","age","gender","par_edu","hisei","mig_bac","paa_gpa","big_ext","big_agr","big_con","big_neu","big_ope","fem_inm","fem_exm"
"3558",39.3300018310547,"1","3",82.4100036621094,"0",2.6,3.5,3.66666666666667,3.5,2.5,3.5,3.44444444444444,2.08333333333333
"3559",22.6700000762939,"0","1",37.8300018310547,"0",1.8,4,3.66666666666667,4.5,3,4,NA,NA
"3560",32.5800018310547,"0","2",61.8199996948242,"0",2,5,4,3,1.5,5,3.77777777777778,1.5
"3561",22.8299999237061,"0","1",NA,"0",2.3,NA,NA,NA,NA,NA,NA,NA
"3562",41.4199981689453,"1","1",NA,"0",2.4,2.5,3.66666666666667,2.5,3.5,2,3,3.16666666666667
"3563",22.5,"0","1",NA,"0",2.8,NA,NA,NA,NA,NA,NA,NA
"3564",28.3299999237061,"0","1",NA,"0",2.3,3.5,4,4,4,3,NA,NA
"3565",26.8299999237061,"1","2",57.0299987792969,"0",1.4,3.5,3,4.5,2,4.5,3.77777777777778,2
"3566",49.4199981689453,"0","2",NA,"0",2.5,4,3.66666666666667,3.5,2,3.5,NA,NA
"3567",31.4200000762939,"0","1",NA,"0",2.5,4.5,4.33333333333333,4,2,5,3.22222222222222,2.58333333333333
"3568",20.5,"0","1",26.8500003814697,"0",2,NA,NA,NA,NA,NA,NA,NA
"3569",23.3299999237061,"0","1",78.1699981689453,"0",2.8,3,4.33333333333333,4,3.5,3.5,NA,NA
"3570",31.5,"1","1",NA,"0",1,4.5,3.33333333333333,4,1.5,1.5,NA,NA
"3571",33.25,"1","3",79.7399978637695,"0",1.8,4.5,3.66666666666667,2.5,2.5,5,NA,NA
"3572",28.8299999237061,"0","3",82.4100036621094,"0",1.9,4,4,5,2.5,2.5,3.55555555555556,2.75
"3573",25.0799999237061,"1","3",44.7200012207031,"0",1.3,4,3,4.5,2,2,NA,NA
"3574",28.75,"0","1",59.3499984741211,"0",3,3.5,3.33333333333333,4.5,2.5,3,NA,NA
"3575",29,"0","2",NA,"0",2.5,4,3.66666666666667,3,3.5,4.5,3.55555555555556,2.91666666666667
"3576",27,"0","2",NA,"0",2.3,3.5,4.66666666666667,4,2,3,NA,NA
"3577",30.5,"1","1",28.4799995422363,"0",1.8,2,3.33333333333333,2.5,1.5,3,3.33333333333333,1.91666666666667
